"","taiwan","climat","fight","ufc","parti","chang","forc","find","just","power","back","got","know","dont","global","differ","govern","confer","get","scale"
"ClimChange1.txt",0,23,0,0,5,12,0,0,0,4,0,0,1,0,6,6,0,0,1,0
"ClimChange2.txt",0,20,0,0,0,12,1,0,5,2,0,0,5,4,6,0,8,0,2,2
"ClimChange3.txt",0,3,0,0,0,4,0,5,2,0,3,0,0,1,1,0,0,0,1,0
"ClimChange4.txt",0,10,0,0,0,7,0,0,1,0,0,0,0,0,3,0,0,0,0,2
"ClimChange5.txt",0,17,0,0,0,4,0,0,1,3,0,0,1,0,2,0,0,0,0,4
"Taiwan1.txt",11,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"Taiwan2.txt",29,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,1,4,0,2
"Taiwan3.txt",11,0,0,0,6,2,3,0,0,3,0,0,0,0,0,0,2,0,0,1
"Taiwan4.txt",19,0,0,0,10,6,3,0,0,7,2,0,0,1,0,0,3,0,1,0
"Taiwan5.txt",9,0,0,0,0,6,0,10,2,0,0,2,1,8,1,2,2,0,4,0
"UFC1.txt",0,0,2,4,4,0,0,0,0,0,1,1,3,3,0,2,0,2,0,0
"UFC2.txt",0,0,34,15,0,2,0,2,9,0,20,8,3,3,0,1,0,1,20,0
"UFC3.txt",0,0,15,10,0,0,0,0,0,0,4,3,2,1,0,0,0,2,1,0
"UFC4.txt",0,0,4,5,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0
"UFC5.txt",0,0,18,4,0,0,0,1,11,0,2,5,8,6,0,0,0,1,8,0
